,ID,testfold,validationfold,exp_mean_loss,loss,accuracy,time
142,IR5,3,5,0.712389994,1.5214511156082153,0.6682000160217285,46.98447108268738
143,IR5,4,5,0.712389994,1.4696248769760132,0.6888999938964844,98.75956344604492
144,IR5,5,5,0.712389994,1.2195043563842773,0.7006999850273132,80.57071113586426
145,IR5,1,6,0.712389994,1.0899487733840942,0.7294999957084656,87.83998560905457
146,IR5,2,6,0.712389994,1.7370214462280273,0.6917999982833862,94.38040590286255
147,IR5,3,6,0.712389994,1.3569210767745972,0.7057999968528748,100.82484936714172
148,IR5,4,6,0.712389994,1.1280956268310547,0.6897000074386597,80.71839308738708
149,IR5,5,6,0.712389994,1.293531894683838,0.6859999895095825,73.40924286842346
150,OP1,1,1,0.855599999,0.6734768748283386,0.8237000107765198,863.9007604122162
151,OP1,2,1,0.855599999,0.6568071246147156,0.8295999765396118,860.8001132011414
152,OP1,3,1,0.855599999,0.6966935396194458,0.8174999952316284,823.5955781936646
153,OP1,4,1,0.855599999,0.7878968119621277,0.8033000230789185,901.0451896190643
154,OP1,5,1,0.855599999,0.6252735257148743,0.8359000086784363,901.4193403720856
155,OP1,1,2,0.855599999,0.6614172458648682,0.8370000123977661,980.275247335434
156,OP1,2,2,0.855599999,0.6111574172973633,0.8400999903678894,899.5274088382721
157,OP1,3,2,0.855599999,0.6241715550422668,0.8314999938011169,824.0270445346832
158,OP1,4,2,0.855599999,0.6318793892860413,0.8389999866485596,941.6994121074677
