,number,value,datetime_start,datetime_complete,duration,params_batchind,params_batchnormalization0,params_batchnormalization1,params_batchnormalization2,params_batchnormalization3,params_batchnormalization4,params_batchnormalization5,params_batchnormalization6,params_batchnormalization7,params_dropout,params_epochs,params_filtersind1,params_filtersind2,params_filtersind3,params_filtersind4,params_filtersind5,params_filtersind6,params_filtersind7,params_kernel_size1,params_kernel_size2,params_kernel_size3,params_kernel_size4,params_kernel_size5,params_kernel_size6,params_kernel_size7,params_learnind,params_maxpooling0,params_maxpooling1,params_maxpooling2,params_maxpooling3,params_maxpooling4,params_maxpooling5,params_maxpooling6,params_maxpooling7,params_n_conv_layers,params_n_dense_layers,params_num_hidden_neurons0,params_num_hidden_neurons1,state
63,63,0.7331163883209229,2024-06-28 10:59:14.485667,2024-06-28 11:09:39.294403,0 days 00:10:24.808736,8,True,True,False,False,True,,,,0.06475688313613534,106,7.0,8.0,6.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,False,,,,5,2,36.0,,COMPLETE
64,64,0.741737961769104,2024-06-28 11:03:15.525326,2024-06-28 11:11:04.630477,0 days 00:07:49.105151,7,True,True,False,False,True,,,,0.10592330207307754,56,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,40.0,,COMPLETE
65,65,2.0783767700195312,2024-06-28 11:09:39.315899,2024-06-28 11:27:14.790423,0 days 00:17:35.474524,8,True,True,False,False,True,True,True,False,0.0636965657251759,106,8.0,8.0,6.0,5.0,7.0,8.0,6.0,3.0,9.0,9.0,7.0,5.0,9.0,7.0,3,False,True,False,False,False,True,False,False,8,2,35.0,,COMPLETE
66,66,2.3147130012512207,2024-06-28 11:11:04.646284,2024-06-28 11:28:04.715357,0 days 00:17:00.069073,8,True,True,False,False,True,True,True,False,0.045431024571008644,104,8.0,8.0,6.0,6.0,7.0,8.0,6.0,3.0,9.0,7.0,5.0,5.0,9.0,7.0,2,False,True,False,False,False,True,False,False,8,2,34.0,,COMPLETE
67,67,0.9976997971534729,2024-06-28 11:27:14.806393,2024-06-28 11:44:35.565793,0 days 00:17:20.759400,9,True,True,False,True,False,True,,,0.041477036256454936,137,7.0,8.0,6.0,6.0,6.0,,,11.0,9.0,7.0,5.0,3.0,,,2,False,True,True,True,False,False,,,6,2,22.0,,COMPLETE
68,68,0.9313331842422485,2024-06-28 11:28:04.730534,2024-06-28 12:11:02.188662,0 days 00:42:57.458128,9,True,True,False,True,False,False,,,0.0929240441006465,136,5.0,8.0,6.0,6.0,8.0,,,11.0,9.0,9.0,7.0,3.0,,,4,False,False,True,True,False,False,,,6,2,22.0,,COMPLETE
69,69,1.0906517505645752,2024-06-28 11:44:35.581356,2024-06-28 11:46:47.098299,0 days 00:02:11.516943,9,True,True,,,,,,,0.08917929090391902,93,5.0,,,,,,,3.0,,,,,,,4,False,False,,,,,,,2,2,57.0,,COMPLETE
70,70,0.8938469886779785,2024-06-28 11:46:47.105358,2024-06-28 12:17:16.978418,0 days 00:30:29.873060,10,True,True,True,True,True,False,True,,0.4277977800535186,153,7.0,8.0,7.0,5.0,8.0,7.0,,7.0,9.0,9.0,7.0,7.0,3.0,,3,False,True,False,True,False,False,True,,7,2,22.0,,COMPLETE
71,71,3.441227436065674,2024-06-28 12:11:02.205137,2024-06-28 12:20:12.630923,0 days 00:09:10.425786,10,True,True,True,True,True,True,True,,0.11538370976490381,111,7.0,8.0,7.0,7.0,8.0,7.0,,7.0,3.0,11.0,7.0,7.0,3.0,,3,False,True,False,True,False,True,True,,7,2,43.0,,COMPLETE
72,72,0.7552767992019653,2024-06-28 12:17:16.995351,2024-06-28 12:24:17.585243,0 days 00:07:00.589892,8,True,True,False,False,True,,,,0.11798718628661846,59,7.0,7.0,7.0,5.0,,,,3.0,9.0,9.0,7.0,,,,3,False,True,False,True,True,,,,5,2,41.0,,COMPLETE
